id,name,artist,bpm,style,mp3_url,bar1_offset_sec,feel,license,source_url,active,pro
darren-hirst-minimal-90s,Minimal 90s,Darren Hirst,81,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/darren-hirst-minimal-90s.mp3,,,Pixabay Content License,https://pixabay.com/music/beats-minimal-90s-rap-beat-312554/,true,false
leberch-hip-hop,Hip Hop,Leberch,88,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/leberch-hip-hop.mp3,1.72,,Pixabay Content License,https://pixabay.com/music/beats-hip-hop-516914/,true,false
aspieduck-1-weirdo,1 Weirdo,Aspieduck,92,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/aspieduck-1-weirdo.mp3,2.02,,Pixabay Content License,https://pixabay.com/music/beats-old-school-hip-hop-boom-bap-1-weirdo-176238/,true,false
alexgrohl-sad-soul,Sad Soul,AlexGrohl,92,jazz-hop,https://REPLACE-WITH-R2-PUBLIC-URL/alexgrohl-sad-soul.mp3,14.63,mellow,Pixabay Content License,https://pixabay.com/music/beats-sad-soul-hip-hop-185750/,true,false
doublehmajor-westcoast-90s,Westcoast 90s,DoubleHMajor,99,old-school,https://REPLACE-WITH-R2-PUBLIC-URL/doublehmajor-westcoast-90s.mp3,,g-funk,Pixabay Content License,https://pixabay.com/music/beats-westcoast90stypebeat-508774/,true,false
pasabaa-anantha-pernel,Anantha Pernel,Pasabaa,89,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/pasabaa-anantha-pernel.mp3,,modern,Pixabay Content License,https://pixabay.com/music/beats-rap-type-beat-anantha-pernel-instrumental-2025-416239/,true,false
delosound-old-school,Old School,Delosound,86,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/delosound-old-school.mp3,,old-school,Pixabay Content License,https://pixabay.com/music/beats-hiphop-beat-old-school-boom-bap-421074/,true,false
sound4stock-urban,Urban,Sound4Stock,89,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/sound4stock-urban.mp3,,urban,Pixabay Content License,https://pixabay.com/music/beats-urban-hip-hop-rap-beat-464285/,true,false
vxyage-territory,Territory,Vxyage,99,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/vxyage-territory.mp3,,dark,Pixabay Content License,https://pixabay.com/music/beats-old-style-horrorcore-rap-territory-424309/,true,false
yellowbirdbeats-back-right,Back Right,YellowBirdBeats,86,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/yellowbirdbeats-back-right.mp3,1.51,battle,Pixabay Content License,https://pixabay.com/music/beats-old-school-x-rap-x-hip-hop-beat-battle-x-freestyle-back-right-494512/,true,false
jake-plah-freestyle,Freestyle,Jake Plah,76,boom-bap,https://REPLACE-WITH-R2-PUBLIC-URL/jake-plah-freestyle.mp3,,slow,Pixabay Content License,https://pixabay.com/music/beats-rap-freestyle-beat-435114/,true,false
